id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount,status
1,b7d9464a3ed871857373b6cc17345fbb,2023-11-01T00:00:00,1,Ростов,3615,Светлана,Егорова,7,Средство для мытья посуды,5,1000,shipped
2,d10c86e7cec148c0154fdb1b386c3b7a,2023-11-01T00:00:00,2,Ярославль,9310,Надежда,Волкова,10,Томаты,2,100,shipped
3,56d30944550253f5715c9b5aa6f00b7c,2023-11-01T00:00:00,2,Ярославль,612,Александра,Егорова,0,Молоко 1%,3,300,shipped
4,1364ed26bd070f1d3acbddeea527e5aa,2023-11-01T00:00:00,0,Москва,2412,Ольга,Алексеева,2,Молоко 5%,2,300,shipped
5,092a97390e0112a4c9bbab19c9d50d59,2023-11-01T00:00:00,0,Москва,1909,Евгений,Новиков,4,Сахар песок,2,100,shipped
6,a99c713333e69cca7bebb50ed7f056c6,2023-11-01T00:00:00,2,Ярославль,7618,Анна,Егорова,2,Молоко 5%,2,300,shipped
7,0b8eb3e5c812452a18dd94a1e610be37,2023-11-01T00:00:00,1,Ростов,7618,Анна,Егорова,4,Сахар песок,4,200,shipped
8,575cee4ce8235f2b2477aa1d95a20cf1,2023-11-01T00:00:00,0,Москва,4912,Екатерина,Орлова,2,Молоко 5%,2,300,shipped
9,1d731c08cb740c61763171c0a233b239,2023-11-01T00:00:00,0,Москва,8300,Геннадий,Смирнов,6,Яблоко,1,140,shipped
10,047396a3dcbb5594883cd83acc9f346f,2023-11-01T00:00:00,1,Ростов,1909,Евгений,Новиков,4,Сахар песок,2,100,shipped
11,a99c713333e69cca7bebb50ed7f056c6,2023-11-01T00:00:00,2,Ярославль,7618,Анна,Егорова,2,Молоко 5%,2,300,shipped
12,0b8eb3e5c812452a18dd94a1e610be37,2023-11-01T00:00:00,1,Ростов,7618,Анна,Егорова,4,Сахар песок,4,200,shipped
13,575cee4ce8235f2b2477aa1d95a20cf1,2023-11-01T00:00:00,0,Москва,4912,Екатерина,Орлова,2,Молоко 5%,2,300,shipped
14,1d731c08cb740c61763171c0a233b239,2023-11-01T00:00:00,0,Москва,8300,Геннадий,Смирнов,6,Яблоко,1,140,shipped
15,047396a3dcbb5594883cd83acc9f346f,2023-11-01T00:00:00,1,Ростов,1909,Евгений,Новиков,4,Сахар песок,2,100,shipped
16,a99c713333e69cca7bebb50ed7f056c6,2023-11-01T00:00:00,2,Ярославль,7618,Анна,Егорова,2,Молоко 5%,2,300,shipped
17,0b8eb3e5c812452a18dd94a1e610be37,2023-11-01T00:00:00,1,Ростов,7618,Анна,Егорова,4,Сахар песок,4,200,shipped
18,575cee4ce8235f2b2477aa1d95a20cf1,2023-11-01T00:00:00,0,Москва,4912,Екатерина,Орлова,2,Молоко 5%,2,300,shipped
19,1d731c08cb740c61763171c0a233b239,2023-11-01T00:00:00,0,Москва,8300,Геннадий,Смирнов,6,Яблоко,1,140,shipped
20,047396a3dcbb5594883cd83acc9f346f,2023-11-01T00:00:00,1,Ростов,1909,Евгений,Новиков,4,Сахар песок,2,100,shipped
21,a99c713333e69cca7bebb50ed7f056c6,2023-11-01T00:00:00,2,Ярославль,7618,Анна,Егорова,2,Молоко 5%,2,300,shipped
22,0b8eb3e5c812452a18dd94a1e610be37,2023-11-01T00:00:00,1,Ростов,7618,Анна,Егорова,4,Сахар песок,4,200,shipped
23,575cee4ce8235f2b2477aa1d95a20cf1,2023-11-01T00:00:00,0,Москва,4912,Екатерина,Орлова,2,Молоко 5%,2,300,shipped
24,1d731c08cb740c61763171c0a233b239,2023-11-01T00:00:00,0,Москва,8300,Геннадий,Смирнов,6,Яблоко,1,140,shipped
25,047396a3dcbb5594883cd83acc9f346f,2023-11-01T00:00:00,1,Ростов,1909,Евгений,Новиков,4,Сахар песок,2,100,shipped
26,a99c713333e69cca7bebb50ed7f056c6,2023-11-01T00:00:00,2,Ярославль,7618,Анна,Егорова,2,Молоко 5%,2,300,shipped
27,0b8eb3e5c812452a18dd94a1e610be37,2023-11-01T00:00:00,1,Ростов,7618,Анна,Егорова,4,Сахар песок,4,200,shipped
28,575cee4ce8235f2b2477aa1d95a20cf1,2023-11-01T00:00:00,0,Москва,4912,Екатерина,Орлова,2,Молоко 5%,2,300,shipped
29,1d731c08cb740c61763171c0a233b239,2023-11-01T00:00:00,0,Москва,8300,Геннадий,Смирнов,6,Яблоко,1,140,shipped
30,047396a3dcbb5594883cd83acc9f346f,2023-11-01T00:00:00,1,Ростов,1909,Евгений,Новиков,4,Сахар песок,2,100,shipped
31,a99c713333e69cca7bebb50ed7f056c6,2023-11-01T00:00:00,2,Ярославль,7618,Анна,Егорова,2,Молоко 5%,2,300,shipped
32,0b8eb3e5c812452a18dd94a1e610be37,2023-11-01T00:00:00,1,Ростов,7618,Анна,Егорова,4,Сахар песок,4,200,shipped
33,575cee4ce8235f2b2477aa1d95a20cf1,2023-11-01T00:00:00,0,Москва,4912,Екатерина,Орлова,2,Молоко 5%,2,300,shipped
34,1d731c08cb740c61763171c0a233b239,2023-11-01T00:00:00,0,Москва,8300,Геннадий,Смирнов,6,Яблоко,1,140,shipped
