id,uniq_id,date_time,city_id,city_name,customer_id,first_name,last_name,item_id,item_name,quantity,payment_amount
1,3820640f0cbb4f1f11b3ad93b655e4a7,2023-10-03T00:00:00,1,Ростов,8200,Геннадий,Сидоров,3,Устройство для нагревания табака Трубка Мира,1,500
2,043f632486813e02a6a179fe2bfe664a,2023-10-03T00:00:00,2,Ярославль,8114,Снежанна,Федорова,3,Устройство для нагревания табака Трубка Мира,4,2000
3,887dc09a08c01f8c976495f2665902af,2023-10-03T00:00:00,2,Ярославль,8716,Снежанна,Павлова,10,Томаты,5,250
4,679feeb10ac5dceaaf4156a7c4d0b032,2023-10-03T00:00:00,1,Ростов,7609,Константин,Васильев,9,Ручка шариковая,1,45
5,9676fa6a100c4d6abdf5473c1a08e6e0,2023-10-03T00:00:00,2,Ярославль,8907,Геннадий,Новиков,10,Томаты,3,150
6,94294838503af01c1e141f0f429d70d1,2023-10-03T00:00:00,1,Ростов,7104,Константин,Петров,8,Лампочка LED,4,1200
7,fc758d123bb069cca2316f4749bf39d6,2023-10-03T00:00:00,2,Ярославль,2417,Ольга,Алексеева,2,Молоко 5%,1,150
8,be0fc9e03881f2186b94e13fd0b17b0c,2023-10-03T00:00:00,1,Ростов,5506,Александр,Попов,0,Молоко 1%,2,200
9,59f51351247d9293446e99c0b5241751,2023-10-03T00:00:00,1,Ростов,1702,Евгений,Соколов,1,Молоко 3%,2,240
10,800806752b21700453eab3812ca3d66f,2023-10-03T00:00:00,0,Москва,5513,Оксана,Лебедева,0,Молоко 1%,2,200
11,6a9a909061a1a3586d1f7d617dbf4b79,2023-10-03T00:00:00,1,Ростов,1418,Евгения,Алексеева,2,Молоко 5%,2,300
12,d04e2854b344f5abf2124c428dfe546e,2023-10-03T00:00:00,1,Ростов,4415,Екатерина,Алексеева,5,Яблоко молодильное,3,1200
13,95876f98cd40653d37d95802f74d6aba,2023-10-03T00:00:00,2,Ярославль,5317,Оксана,Волкова,5,Яблоко молодильное,4,1600
14,2f3a8215f07d8629cca4e8d8758b3a79,2023-10-03T00:00:00,2,Ярославль,8519,Снежанна,Лебедева,10,Томаты,3,150
15,486865e4930e9e0c4ff79fab0d1f9f00,2023-10-03T00:00:00,2,Ярославль,5718,Оксана,Павлова,6,Яблоко,5,700
16,34f16304444a02a5b60e35ff0e62ec5c,2023-10-03T00:00:00,0,Москва,9708,Эдуард,Соколов,9,Ручка шариковая,1,45
17,8605a9095d156c75cb4ccb1f8f23d188,2023-10-03T00:00:00,0,Москва,1215,Евгения,Морозова,1,Молоко 3%,1,120
18,964ea332cfaaa5304fff07209030e184,2023-10-03T00:00:00,1,Ростов,5008,Александр,Иванов,4,Сахар песок,3,150
19,064d3b47bd89ec897d0dceff4e6b28a8,2023-10-03T00:00:00,0,Москва,612,Александра,Егорова,1,Молоко 3%,4,480
20,044b5623bc7ce136e241d0ce6b89eab6,2023-10-03T00:00:00,2,Ярославль,2305,Петр,Смирнов,0,Молоко 1%,4,400
21,633102e8555738fa66e36fc9f774c518,2023-10-03T00:00:00,2,Ярославль,4117,Екатерина,Федорова,1,Молоко 3%,4,480
22,eed8d1a34ee2bbbc990de294eb85661b,2023-10-03T00:00:00,2,Ярославль,8912,Снежанна,Орлова,11,Хлеб ржаной,2,40
23,e9cba4be9e98764fccbd4b0e8c1dfbc7,2023-10-03T00:00:00,1,Ростов,3706,Олег,Соколов,10,Томаты,1,50
24,907e5a809147859a60b3c09e3ee9e75c,2023-10-03T00:00:00,0,Москва,4911,Екатерина,Орлова,0,Молоко 1%,4,400
25,bdd6420d32f8ef4d9c2783b8dfb337bf,2023-10-03T00:00:00,1,Ростов,110,Александра,Федорова,9,Ручка шариковая,1,45
26,6d509178b54dfc791067cc0b1994ff42,2023-10-03T00:00:00,1,Ростов,7011,Анна,Великая,5,Яблоко молодильное,2,800
27,cccdc6b90953b8ddaaa7cfefc84798f9,2023-10-03T00:00:00,2,Ярославль,9003,Эдуард,Иванов,3,Устройство для нагревания табака Трубка Мира,1,500
28,d43f77e6b34c2804a4b293fe81131d7f,2023-10-03T00:00:00,1,Ростов,3515,Светлана,Лебедева,6,Яблоко,1,140
29,e8ba7cec70729657388bfde4cf12b077,2023-10-03T00:00:00,0,Москва,6414,Елизавета,Алексеева,1,Молоко 3%,2,240
